Compared With,Repeat,Pseudo-F,p-value
D008107,1,1.7553809607663924,0.062
D008107,2,1.4500745639339558,0.097
D008107,3,2.104854364360546,0.007
D008107,4,2.8553213039038448,0.002
D008107,5,1.8743964330770662,0.024
D008107,6,3.1946026643472534,0.001
D008107,7,1.6461902468309426,0.065
D008107,8,2.38564603592809,0.006
D008107,9,2.705515080114244,0.001
D008107,10,1.8864157833456567,0.036
D008171,1,1.2311738683736415,0.221
D008171,2,3.2600874087426157,0.003
D008171,3,3.4707876559589694,0.003
D008171,4,2.329135990888787,0.011
D008171,5,2.1148588246383393,0.01
D008171,6,1.8903462448514228,0.033
D008171,7,1.541022343207751,0.098
D008171,8,3.355898176116151,0.002
D008171,9,1.885683928708342,0.024
D008171,10,1.4728377927854972,0.116
D008545,1,4.81913792601755,0.001
D008545,2,8.461462875567504,0.001
D008545,3,6.943075556844531,0.001
D008545,4,5.619492844542758,0.001
D008545,5,7.875450567992693,0.001
D008545,6,4.5619565454522695,0.001
D008545,7,5.222881554840687,0.001
D008545,8,6.992748711690521,0.001
D008545,9,5.032538345057654,0.001
D008545,10,7.7501815506366265,0.001
D008881,1,1.5282580180260874,0.081
D008881,2,1.9723770069389759,0.031
D008881,3,1.8285628447768676,0.03
D008881,4,1.4396499650663515,0.108
D008881,5,2.114229066092958,0.018
D008881,6,2.7108950914648426,0.001
D008881,7,2.9019238905830282,0.002
D008881,8,1.513570857006814,0.076
D008881,9,1.8649634063299887,0.038
D008881,10,2.768621247365929,0.002
D009765,1,2.24277237489549,0.016
D009765,2,3.930759919035759,0.001
D009765,3,3.966400099813931,0.001
D009765,4,4.260671852887912,0.001
D009765,5,4.75349064711441,0.001
D009765,6,6.125550970260331,0.001
D009765,7,3.244618463554252,0.001
D009765,8,5.504445176237082,0.001
D009765,9,4.082155066202827,0.001
D009765,10,4.373158059864819,0.001
D011565,1,7.964880528240444,0.001
D011565,2,6.7448440103081255,0.001
D011565,3,5.93858998019589,0.001
D011565,4,8.774267252245465,0.001
D011565,5,7.752990400965482,0.001
D011565,6,6.845110538895252,0.001
D011565,7,7.457607616252415,0.001
D011565,8,7.4006769245157775,0.001
D011565,9,9.194863949598522,0.001
D011565,10,9.710492853003547,0.001
D012400,1,4.20998233449007,0.002
D012400,2,5.189319232863833,0.001
D012400,3,6.548299763457562,0.001
D012400,4,7.04444600744457,0.001
D012400,5,5.669341969215924,0.001
D012400,6,3.623008761057777,0.003
D012400,7,4.558926233972836,0.001
D012400,8,3.7677163998125844,0.001
D012400,9,4.014330565164727,0.001
D012400,10,5.7544697433897865,0.001
D012559,1,2.6549600177821167,0.003
D012559,2,1.94492711599674,0.033
D012559,3,2.3341630141976344,0.007
D012559,4,1.6265075171529277,0.056
D012559,5,2.097507586440557,0.012
D012559,6,1.890488090397813,0.034
D012559,7,1.2799037181024726,0.18
D012559,8,3.0211095344844687,0.002
D012559,9,3.3917545966494456,0.003
D012559,10,2.817331597094286,0.002
D012778,1,3.1816145485428713,0.002
D012778,2,2.924838866305171,0.002
D012778,3,4.9883808902614275,0.001
D012778,4,3.0118334046294697,0.003
D012778,5,5.831553860182818,0.001
D012778,6,5.74912038139346,0.001
D012778,7,4.823360842823063,0.001
D012778,8,5.301863303779981,0.001
D012778,9,4.647937071100561,0.001
D012778,10,2.2549050145356095,0.016
D013167,1,4.856919878689791,0.001
D013167,2,5.26639461526787,0.001
D013167,3,3.08048220914255,0.004
D013167,4,3.3465631356838164,0.003
D013167,5,3.0089024529419324,0.008
D013167,6,3.321212326678557,0.003
D013167,7,3.948851061738671,0.003
D013167,8,3.021231366215105,0.004
D013167,9,4.021871371068168,0.002
D013167,10,4.993789188338542,0.001
D013274,1,34.491981262439126,0.001
D013274,2,34.857672196314816,0.001
D013274,3,30.472653737858533,0.001
D013274,4,34.13300883058762,0.001
D013274,5,27.20860061269498,0.001
D013274,6,33.348013273087076,0.001
D013274,7,35.35251606474085,0.001
D013274,8,40.4614907961617,0.001
D013274,9,31.59797283301827,0.001
D013274,10,31.941061087766634,0.001
D013959,1,2.458438692111188,0.003
D013959,2,2.4298839137559387,0.004
D013959,3,1.6563210175574494,0.083
D013959,4,2.5927139229361615,0.004
D013959,5,2.479566144248608,0.002
D013959,6,2.3166619058466575,0.011
D013959,7,4.942460378102348,0.001
D013959,8,2.5116568901742293,0.004
D013959,9,2.7507747538211844,0.005
D013959,10,1.860458861621427,0.033
D013964,1,12.00187271253751,0.001
D013964,2,9.600312236021896,0.001
D013964,3,10.087876062027757,0.001
D013964,4,10.13832452554214,0.001
D013964,5,11.8974351915395,0.001
D013964,6,11.871232635160503,0.001
D013964,7,12.100973805013165,0.001
D013964,8,13.87818508729347,0.001
D013964,9,9.670277393483328,0.001
D013964,10,9.060711764053853,0.001
D014376,1,1.8487898593805574,0.091
D014376,2,5.531116780054191,0.001
D014376,3,4.18267182507705,0.001
D014376,4,3.8904461046947234,0.001
D014376,5,1.9107868258742255,0.059
D014376,6,3.591684922761457,0.004
D014376,7,4.0564269622234,0.003
D014376,8,4.505100687163327,0.001
D014376,9,2.3075457742174295,0.025
D014376,10,4.3759807973680225,0.002
D014607,1,5.688536245939556,0.001
D014607,2,6.51363715208936,0.001
